,price,Commune,rank_city_pr,house_area,number_of_rooms,terrace,terrace_area,fully_equipped_kitchen,open_fire,SB_as new,SB_just renovated,SB_good,SB_to be done up,SB_to renovate,SB_to restore
5077,185000,COURT-SAINT-ETIENNE,382.0,70.0,2,0,0.0,1,0,0,0,0,1,0,0
5078,189000,ANDERLECHT,283.0,75.0,2,0,0.0,1,0,0,1,0,0,0,0
5079,189000,ANTWERPEN,335.0,40.0,1,0,0.0,1,0,0,0,0,0,0,0
5080,197000,BRUGGE,468.0,70.0,2,1,12.0,1,0,0,0,1,0,0,0
5081,198000,BEVEREN-WAAS,318.0,80.0,1,1,,1,0,0,1,0,0,0,0
5082,199000,BALEN,241.0,79.0,1,0,0.0,1,0,0,0,1,0,0,0
5083,200000,IZEGEM,227.0,94.0,1,1,9.0,0,0,0,0,0,0,0,0
5084,179000,ANTWERPEN,335.0,80.0,2,1,5.0,1,0,0,0,0,0,0,0
5085,170000,MIDDELKERKE,72.0,40.0,1,1,,1,0,1,0,0,0,0,0
5086,164000,ANTWERPEN,335.0,57.0,1,1,6.0,0,0,1,0,0,0,0,0
5087,168000,LIER,390.0,65.0,1,1,7.0,1,0,1,0,0,0,0,0
5088,158000,MIDDELKERKE,72.0,40.0,1,0,0.0,0,0,0,0,0,0,0,0
5089,159000,ANTWERPEN,335.0,83.0,2,0,0.0,1,0,0,0,0,0,0,0
5090,169000,HAMONT-ACHEL,346.0,102.0,2,1,,0,0,0,0,0,1,0,0
5091,169900,ANTWERPEN,335.0,85.0,2,0,0.0,0,0,0,0,1,0,0,0
5092,198000,TESSENDERLO,306.0,86.0,2,1,3.0,1,0,0,0,0,0,0,0
5093,157000,WALCOURT,31.0,214.0,2,0,0.0,0,0,0,0,0,0,0,0
5094,159000,LIÈGE,84.0,70.0,1,0,0.0,1,0,1,0,0,0,0,0
5095,160000,ZWIJNDRECHT,456.0,114.0,0,1,,1,0,0,0,0,0,1,0
5096,160000,HARELBEKE,161.0,110.0,3,0,0.0,0,0,1,0,0,0,0,0
5097,165000,MOLENBEEK-SAINT-JEAN,239.0,74.0,2,0,0.0,0,0,0,0,0,0,0,0
5098,165000,SERAING,26.0,59.0,1,1,4.0,0,0,1,0,0,0,0,0
5099,165000,NAMUR,259.0,61.0,1,1,2.0,1,0,0,0,0,0,0,0
5100,165000,ROESELARE,250.0,100.0,2,1,,0,0,0,0,0,1,0,0
5101,169000,SERAING,26.0,59.0,1,1,4.0,0,0,1,0,0,0,0,0
5102,169000,OOSTENDE,167.0,65.0,1,1,5.0,1,0,0,0,1,0,0,0
5103,178908,PUURS-SINT-AMANDS,389.0,79.0,1,1,4.0,1,0,1,0,0,0,0,0
5104,179000,ANTWERPEN,335.0,75.0,1,0,0.0,0,0,1,0,0,0,0,0
5105,179000,TORHOUT,291.0,95.0,2,0,0.0,1,0,1,0,0,0,0,0
5106,185000,NIEUWPOORT,364.0,44.0,1,1,,0,0,1,0,0,0,0,0
5107,190000,ANS,66.0,115.0,2,0,0.0,1,0,0,0,0,0,0,0
5108,195000,WINGENE,281.0,98.0,2,0,0.0,0,0,1,0,0,0,0,0
5109,195000,SINT-NIKLAAS,321.0,98.0,2,0,0.0,1,0,1,0,0,0,0,0
